;keyword;;url;absender
;;;;
;;;;
;kredit;;nudechats.com;kredit@mail.com
;finanzen;;diaettropfenchance.ch;finanzen@mail.com
;finance;;ausverkaufshighlights.ch;finance@mail.ch
;£££;;allesmussrausangebot.com;money4u@mail-ch.com
;$$$;;discountdeals.com;easybucks@mail-com.ch
;€€€;;valiumkaufen.com;cashflowmaster@mail-ch.com
;100% gratis;;onlineapothekeangebot.com;earnquickmoney@mail-com.ch
;Sichere Anlage;;alternstoppen.com;jackpotwinner@mail-ch.com
;bargeld-günstig;;glatzebehandeln.ch;fastcashnow@mail-com.ch
;einkommen verdoppeln;;erektionserfolg.com;getrichquick@mail-ch.com
;günstige refinanzierung;;weightlosschance.ch;guaranteedprofits@mail-com.ch
;paypal;;wunderheilungsgarantie.com;spammyemail@mail-ch.com
;kostenlos;;schnarchenbehandeln.com;quickloans@mail-com.ch
;zuhause arbeiten;;leichtabnehmen.ch;forexmillionaire@mail-ch.com
;credit;;haarausfallbehandlung.com;onlinebizopportunity@mail-com.ch
;investition;;wetteinsatzgewinn.ch;moneymakingmachine@mail-ch.com
;kein risiko;;sieindezinstopf.com;scamalert@mail-com.ch
;Millionen;;bonusangebot.com;easyriches@mail-ch.com
;dein eigener chef;;millionenerfolg.ch;fake@mail.com
;keine abzocke;;eigenerchefbonus.com;joker77@msn.com
;geschenk;;keinrisikofinanz.com;spam@msn.com
;bester preis;;investitionsspezialist.ch;
;bonus;;creditgewinner.com;
;zusatzeinkommen;;einkommendoppeln.com;
;;;€€€−investieren.com;
Glücksspiel;glücksspiele;;;
;exklusive gewinne;;100prozentgratis.ch;
;garanteirter gewinn;;sicheranlagen.com;
;gewinn einlösen;;bargeld−guenstig.ch;
;ihr gewinn abholen;;guenstigerefinanzierung.ch;
;ihr geschenk;;paypalangebot.com;
;holen sie ihren gewinn;;kostenloszuhausearbeiten.ch;
;kein scherz;;keineabzocke−geschenk.ch;
;kein spam;;besterpreisfinanz.com;
;keine abzocke;;sexangebot.com;
;poker;;freundefindenchance.ch;
;risikofrei;;fetischkontakte.com;
;sie haben gewonnen;;datefinderchance.com;
;sie sind ein gewinner;;jetztzuschlagenschance.ch;
;wette;;kaufenkaufenkaufen.com;
;spielgeld;;specialdealoffer.com;
;wetteinsatz;;sonderangebotchance.ch;
;;;preisknuellerangebot.com;
;;;greifenzu−chance.ch;
;;;therapiehilfe.ch;
;abnehmen über nacht;;medizinexperte.com;
;besser im bett werden;;morphinverkauf.ch;
;drogen legal kaufen;;sixpackuebernacht.com;
;glatze weg;;viagraangebot.com;
;gras günstig kaufe;;weedkaufen.ch;
;günstige medikamente;;glatzeweg.ch;
;haarausfall;;spielgeldchance.com;
;leicht abnehmen;;siehabengewonnen.com;
;schnarchen behandeln;;zusatzeinkommenchance.ch;
;viagra;;gluecksspielechance.com;
;weed kaufen;;exklusive−gewinne.ch;
;sixpack über nacht;;garantiertergewinn.com;
;wunderheilung;;gewinnabholen.ch;
;weight loss;;gewinngarantie.comi;
;erektion;;hr−geschenk.ch;
;glatze;;holensieihrengewinn.com;
;altern;;keinscherzfinanz.ch;
;online apotheke;;keinspam−gewinne.com;
;morphin;;keineabzocke−gluecksspiele.ch;
;medizin;;pokergewinn.com;
;therapie;;abnehmenuebernacht.com;
;valium;;besserimbettwerden.ch;
;diät tropfen;;drogenlegalkaufen.com;
;;;grasguenstigkaufen.com;
;;;guenstigemedikamente.ch;
;ausverkauf;;;
;alles muss raus;;;
;discount;;;
;greifen sie zu;;;
;preisknüller;;;
;sonderangebot;;;
;special deal;;;
;kaufen, kaufen, kaufen;;;
;jetzt zuschlagen;;;
;;;;
;;;;
;date;;;
;fetisch;;;
;nude;;;
;freunde finden;;;
;heisse männer;;;
;heisse frauen;;;
;sex;;;
;sexy männer;;;
;sexy frauen;;;
;traumfrau;;;
;traummann;;;
;unverbindliches treffen;;;
;pornography;;;
;sex;;;
;porn;;;
;singles;;;
;;;;
;;;;
;achtung!;;;
;bitte helfen sie mir;;;
;dies ist kein spam;;;
;dringend;;;
;endlich online ;;;
;freier zugang;;;
;hier klicken;;;
;jetzt anrufen;;;
;jobangebot;;;
;werden sie ihr eigener chef;;;
;wie im fernsehen;;;
;spam;;;
;phising;;;
;malware;;;
;ihr paket ist abholbereit;;;
;virus;;;
;scam;;;
;spoofing;;;
;loans;;;
;erben gesucht;;;
